instrument,SW2021_L1_code,SW2021_L1_name
SZ000001,440000,商业贸易
SZ000002,440000,商业贸易
SZ000004,440000,商业贸易
SZ000006,440000,商业贸易
SZ000007,440000,商业贸易
SZ000008,440000,商业贸易
SZ000009,440000,商业贸易
SZ000010,440000,商业贸易
SZ000011,440000,商业贸易
SZ000012,440000,商业贸易
SZ000014,440000,商业贸易
SZ000016,440000,商业贸易
SZ000017,440000,商业贸易
SZ000019,440000,商业贸易
SZ000020,440000,商业贸易
SZ000021,440000,商业贸易
SZ000025,440000,商业贸易
SZ000026,440000,商业贸易
SZ000027,440000,商业贸易
SZ000028,440000,商业贸易
SZ000029,440000,商业贸易
SZ000030,440000,商业贸易
SZ000031,440000,商业贸易
SZ000032,440000,商业贸易
SZ000034,440000,商业贸易
SZ000035,440000,商业贸易
SZ000036,440000,商业贸易
SZ000037,440000,商业贸易
SZ000039,440000,商业贸易
SZ000042,440000,商业贸易
SZ000045,440000,商业贸易
SZ000048,440000,商业贸易
SZ000049,440000,商业贸易
SZ000050,440000,商业贸易
SZ000055,440000,商业贸易
SZ000056,440000,商业贸易
SZ000058,440000,商业贸易
SZ000059,440000,商业贸易
SZ000060,440000,商业贸易
SZ000061,440000,商业贸易
SZ000062,440000,商业贸易
SZ000063,440000,商业贸易
SZ000065,440000,商业贸易
SZ000066,440000,商业贸易
SZ000068,440000,商业贸易
SZ000069,440000,商业贸易
SZ000070,440000,商业贸易
SZ000078,440000,商业贸易
SZ000088,440000,商业贸易
SZ000089,440000,商业贸易
SZ000090,440000,商业贸易
SZ000096,440000,商业贸易
SZ000099,440000,商业贸易
SZ000100,440000,商业贸易
SZ000151,440000,商业贸易
SZ000153,440000,商业贸易
SZ000155,440000,商业贸易
SZ000156,440000,商业贸易
SZ000157,440000,商业贸易
SZ000158,440000,商业贸易
SZ000159,440000,商业贸易
SZ000166,440000,商业贸易
SZ000301,440000,商业贸易
SZ000333,440000,商业贸易
SZ000338,440000,商业贸易
SZ000400,440000,商业贸易
SZ000401,440000,商业贸易
SZ000402,440000,商业贸易
SZ000403,440000,商业贸易
SZ000404,440000,商业贸易
SZ000407,440000,商业贸易
SZ000408,440000,商业贸易
SZ000409,440000,商业贸易
SZ000410,440000,商业贸易
SZ000411,440000,商业贸易
SZ000415,440000,商业贸易
SZ000417,440000,商业贸易
SZ000419,440000,商业贸易
SZ000420,440000,商业贸易
SZ000421,440000,商业贸易
SZ000422,440000,商业贸易
SZ000423,440000,商业贸易
SZ000425,440000,商业贸易
SZ000426,440000,商业贸易
SZ000428,440000,商业贸易
SZ000429,440000,商业贸易
SZ000430,440000,商业贸易
SZ000488,440000,商业贸易
SZ000498,440000,商业贸易
SZ000501,440000,商业贸易
SZ000503,440000,商业贸易
SZ000504,440000,商业贸易
SZ000505,440000,商业贸易
SZ000506,440000,商业贸易
SZ000507,440000,商业贸易
SZ000509,440000,商业贸易
SZ000510,440000,商业贸易
SZ000513,440000,商业贸易
SZ000514,440000,商业贸易
SZ000516,440000,商业贸易
SZ000517,440000,商业贸易
SZ000518,440000,商业贸易
SZ000519,440000,商业贸易
SZ000520,440000,商业贸易
SZ000521,440000,商业贸易
