instrument,SW2021_L2_code,SW2021_L2_name
SZ000001,430100,房地产开发
SZ000002,430100,房地产开发
SZ000004,430100,房地产开发
SZ000006,430100,房地产开发
SZ000007,430100,房地产开发
SZ000008,430100,房地产开发
SZ000009,430100,房地产开发
SZ000010,430100,房地产开发
SZ000011,430100,房地产开发
SZ000012,430100,房地产开发
SZ000014,430100,房地产开发
SZ000016,430100,房地产开发
SZ000017,430100,房地产开发
SZ000019,430100,房地产开发
SZ000020,430100,房地产开发
SZ000021,430100,房地产开发
SZ000025,430100,房地产开发
SZ000026,430100,房地产开发
SZ000027,430100,房地产开发
SZ000028,430100,房地产开发
SZ000029,430100,房地产开发
SZ000030,430100,房地产开发
SZ000031,430100,房地产开发
SZ000032,430100,房地产开发
SZ000034,430100,房地产开发
SZ000035,430100,房地产开发
SZ000036,430100,房地产开发
SZ000037,430100,房地产开发
SZ000039,430100,房地产开发
SZ000042,430100,房地产开发
SZ000045,430100,房地产开发
SZ000048,430100,房地产开发
SZ000049,430100,房地产开发
SZ000050,430100,房地产开发
SZ000055,430100,房地产开发
SZ000056,430100,房地产开发
SZ000058,430100,房地产开发
SZ000059,430100,房地产开发
SZ000060,430100,房地产开发
SZ000061,430100,房地产开发
SZ000062,430100,房地产开发
SZ000063,430100,房地产开发
SZ000065,430100,房地产开发
SZ000066,430100,房地产开发
SZ000068,430100,房地产开发
SZ000069,430100,房地产开发
SZ000070,430100,房地产开发
SZ000078,430100,房地产开发
SZ000088,430100,房地产开发
SZ000089,430100,房地产开发
SZ000090,430100,房地产开发
SZ000096,430100,房地产开发
SZ000099,430100,房地产开发
SZ000100,430100,房地产开发
SZ000151,430100,房地产开发
SZ000153,430100,房地产开发
SZ000155,430100,房地产开发
SZ000156,430100,房地产开发
SZ000157,430100,房地产开发
SZ000158,430100,房地产开发
SZ000159,430100,房地产开发
SZ000166,430100,房地产开发
SZ000301,430100,房地产开发
SZ000333,430100,房地产开发
SZ000338,430100,房地产开发
SZ000400,430100,房地产开发
SZ000401,430100,房地产开发
SZ000402,430100,房地产开发
SZ000403,430100,房地产开发
SZ000404,430100,房地产开发
SZ000407,430100,房地产开发
SZ000408,430100,房地产开发
SZ000409,430100,房地产开发
SZ000410,430100,房地产开发
SZ000411,430100,房地产开发
SZ000415,430100,房地产开发
SZ000417,430100,房地产开发
SZ000419,430100,房地产开发
SZ000420,430100,房地产开发
SZ000421,430100,房地产开发
SZ000422,430100,房地产开发
SZ000423,430100,房地产开发
SZ000425,430100,房地产开发
SZ000426,430100,房地产开发
SZ000428,430100,房地产开发
SZ000429,430100,房地产开发
SZ000430,430100,房地产开发
SZ000488,430100,房地产开发
SZ000498,430100,房地产开发
SZ000501,430100,房地产开发
SZ000503,430100,房地产开发
SZ000504,430100,房地产开发
SZ000505,430100,房地产开发
SZ000506,430100,房地产开发
SZ000507,430100,房地产开发
SZ000509,430100,房地产开发
SZ000510,430100,房地产开发
SZ000513,430100,房地产开发
SZ000514,430100,房地产开发
SZ000516,430100,房地产开发
SZ000517,430100,房地产开发
SZ000518,430100,房地产开发
SZ000519,430100,房地产开发
SZ000520,430100,房地产开发
SZ000521,430100,房地产开发
SZ000523,430100,房地产开发
SZ000524,430100,房地产开发
SZ000525,430100,房地产开发
SZ000526,430100,房地产开发
SZ000528,430100,房地产开发
SZ000529,430100,房地产开发
SZ000530,430100,房地产开发
SZ000531,430100,房地产开发
SZ000532,430100,房地产开发
SZ000533,430100,房地产开发
SZ000534,430100,房地产开发
SZ000536,430100,房地产开发
SZ000537,430100,房地产开发
SZ000538,430100,房地产开发
SZ000539,430100,房地产开发
SZ000541,430100,房地产开发
SZ000543,430100,房地产开发
SZ000544,430100,房地产开发
SZ000545,430100,房地产开发
SZ000546,430100,房地产开发
SZ000547,430100,房地产开发
SZ000548,430100,房地产开发
SZ000550,430100,房地产开发
SZ000551,430100,房地产开发
SZ000552,430100,房地产开发
SZ000553,430100,房地产开发
SZ000554,430100,房地产开发
SZ000555,430100,房地产开发
SZ000557,430100,房地产开发
SZ000558,430100,房地产开发
SZ000559,430100,房地产开发
SZ000560,430100,房地产开发
SZ000561,430100,房地产开发
SZ000563,430100,房地产开发
SZ000564,430100,房地产开发
SZ000565,430100,房地产开发
SZ000566,430100,房地产开发
SZ000567,430100,房地产开发
SZ000568,430100,房地产开发
SZ000570,430100,房地产开发
SZ000571,430100,房地产开发
SZ000572,430100,房地产开发
SZ000573,430100,房地产开发
SZ000576,430100,房地产开发
SZ000581,430100,房地产开发
SZ000582,430100,房地产开发
SZ000586,430100,房地产开发
SZ000589,430100,房地产开发
SZ000590,430100,房地产开发
SZ000591,430100,房地产开发
SZ000592,430100,房地产开发
SZ000593,430100,房地产开发
SZ000595,430100,房地产开发
SZ000596,430100,房地产开发
SZ000597,430100,房地产开发
SZ000598,430100,房地产开发
SZ000599,430100,房地产开发
SZ000600,430100,房地产开发
SZ000601,430100,房地产开发
SZ000603,430100,房地产开发
SZ000605,430100,房地产开发
SZ000607,430100,房地产开发
SZ000608,430100,房地产开发
SZ000609,430100,房地产开发
SZ000610,430100,房地产开发
SZ000612,430100,房地产开发
